issuer,closing_month,project,address,state,amount_financed,sector_guess,closed,entity_type,sponsor,source,source_url,retrieved
Phoenix Industrial Development Authority,Dec-2013,"Candeo Schools, Inc.","9965 W. Calle Lejos, Peoria, AZ",AZ,11000000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2013,Great Hearts Academies - Chandler Preparatory Academy/Archway Classical H,"Academy - Chandler 1951 N. Alma School Rd., Chandler, AZ",AZ,9100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2013,Great Hearts Academies - Arete Preparatory,"Academy/Archway Classical Academy - Arete 4525 E. Baseline Rd., Gilbert, AZ",AZ,15400000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2013,Great Hearts Academies - Cicero,"Preparatory Academy/Archway Classical Academy - Cicero 7205 N. Pima Rd., Scottsdale, AZ",AZ,14900000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Sep-2013,George Gervin Prep Academy – San Antonio,"6944 S. Sunbelt Dr., San Antonio, TX",TX,8100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jul-2013,Paradise Shadows Apartments,"16035 N. 27th St., Phoenix, AZ",AZ,4100000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jul-2013,George Gervin Prep Academy – Phoenix,"2801 E. Southern Ave., Phoenix, AZ",AZ,4300000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2013,BASIS - Mesa,"5010 S. Eastmark Pkwy., Mesa, AZ",AZ,7800000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2013,"Vieste SPE, LLC","11480 W. Glendale Ave., Glendale, AZ",AZ,28900000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2013,BASIS - San Antonio,"8519 Floyd Curl Dr., San Antonio, TX",TX,9300000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Feb-2013,EAGLE College Preparatory,"2450 W. South Mountain Ave., Phoenix, AZ",AZ,10300000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Feb-2013,BASIS - AhwatukeeX,"10210 S. 50th Pl., Phoenix, AZ",AZ,8800000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jan-2013,Republic ServicesA1,"(7 projects in 5 states [Georgia, Illinois, Indiana, Nevada and So. Carolina])",AZ,155100000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2012,KIPP Tech Valley Charter School,"1 Dudley Heights, Albany, NY",NY,8400000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2012,Higley Unified School District,"1100 S. Recker Rd., Gilbert, AZ 18655 E. Jacaranda Blvd., Queen Creek, AZ",AZ,69300000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2012,Great Hearts Academies - Glendale,"Preparatory Academy 23276 N. 83rd Ave., Peoria, AZ",AZ,12600000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2012,Phoenix Collegiate Academy,"5610 S. Central Ave., Phoenix, AZ",AZ,2000000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2012,Phoenix Collegiate Academy,"4445 S. 12th St., Phoenix, AZ",AZ,3300000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2012,Adams Traditional Academy,"2323 W. Parkside Ln., Phoenix, AZ",AZ,15900000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Aug-2012,George Gervin Prep Academy – Phoenix,"2801 E. Southern Ave., Phoenix, AZ",AZ,1700000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jun-2012,Rowan University,"Rowan Boulevard, Glassboro, NJ",NJ,182100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2012,Brighter Choice Charter Schools for Boys/Girls,"395 Elk St., Albany, NY",NY,15100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
